X_train,Y_train,X_test
[-4.484857386615301],[-7.802767086576349],[9.97990174716451]
[1.19142448648932],[-4.470295489997623],[20.181462936651293]
[19.12390146244936],[23.9905565188565],[-1.3087523579838933]
[17.75182546863619],[33.85177587030459],[39.60041175718937]
[18.467043154254277],[27.055343363479846],[38.87488872737324]
[39.608509779214074],[48.48461463922574],[-15.602971266030593]
[23.66995495913671],[37.790688673037046],[2.9876454377838972]
[-22.954816913011886],[-19.831738550102692],[0.2020089477685545]
[8.738873226850025],[4.207911464566519],[9.061862063782469]
[-5.726767922584489],[-20.699130962737314],[-23.157917209494837]
[0.4729695503137501],[-2.8975875469831416],[10.283053241874185]
[11.285297700796896],[15.844829267251134],[-14.2391972859987]
[3.6157499822781136],[8.584916120579805],[17.638520703108554]
[-13.333456469942817],[-18.78872341393869],[25.286073261600436]
[-23.17611768686925],[-31.651195386943595],[12.769337676808876]
[53.285289552701634],[64.26056557769839],[28.50890489137831]
[-18.61653897342433],[-35.269536606218495],[-34.019121869498484]
[44.210984663956495],[58.21901642231841],[-13.029104619981627]
[-19.85128617116639],[-18.68735753304735],[-11.16529238071464]
[38.61266678114488],[36.80409969366626],[16.65853076245871]
[17.309485776080642],[24.132718446920165],[43.20330924095959]
[1.4563361398276427],[-10.325573194152769],[9.745377245840423]
[34.383499133705115],[54.49289686165912],[-15.808297912524448]
[32.887361354334644],[33.80009679082847],[2.4122438947353517]
[-4.2199259404947504],[-3.674890408488224],[8.74667776219426]
[-46.51062413529336],[-57.998624228326],[31.597689216181426]
[-30.753397198168337],[-33.38938957404907],[-13.079444345794613]
